price,title,link
"78,7",Tenis Feminino Academia Confortavel Barato Pra Malhar,https://produto.mercadolivre.com.br/MLB-1865691421-tenis-feminino-academia-confortavel-barato-pra-malhar-_JM#position=44&search_layout=grid&type=item&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"189,18",Bota Paris Cano Alto Salto Bloco,https://produto.mercadolivre.com.br/MLB-1508521244-bota-paris-cano-alto-salto-bloco-_JM#position=45&search_layout=grid&type=item&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"112,10",Kit 10 Pares Meia Lupo Cano Médio Masculina Atacado Original,https://produto.mercadolivre.com.br/MLB-1528626239-kit-10-pares-meia-lupo-cano-medio-masculina-atacado-original-_JM#position=46&search_layout=grid&type=item&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"136,13",Kit2 Calça Plus Size Feminina Jeans Cintura Alta Top Lycra,https://produto.mercadolivre.com.br/MLB-2025867384-kit2-calca-plus-size-feminina-jeans-cintura-alta-top-lycra-_JM#position=47&search_layout=grid&type=item&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"78,7",Tênis Feminino Olimp Para Caminhada Academia Promoção,https://produto.mercadolivre.com.br/MLB-1867165690-tnis-feminino-olimp-para-caminhada-academia-promoco-_JM#position=48&search_layout=grid&type=item&tracking_id=04ec548b-bc56-4ea8-b210-696234ce2539
"205,34",Tênis Masculino Duramo 10 adidas *oferta*,https://produto.mercadolivre.com.br/MLB-2601777901-tnis-masculino-duramo-10-adidas-oferta-_JM#position=5&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"169,16",Kit 10 Cuecas Boxer Masculina Sortidas Hering,https://produto.mercadolivre.com.br/MLB-2089915070-kit-10-cuecas-boxer-masculina-sortidas-hering-_JM#position=6&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"189,31",Tênis Masculino / Feminino Lite Racer 3.0 adidas Novo,https://produto.mercadolivre.com.br/MLB-3104989657-tnis-masculino-feminino-lite-racer-30-adidas-novo-_JM#position=7&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"429,42",Mala Para Viagem Ibiza Em Abs Tamanho M Vinho Isiway,https://produto.mercadolivre.com.br/MLB-3042214900-mala-para-viagem-ibiza-em-abs-tamanho-m-vinho-isiway-_JM#position=8&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"258,32",Tênis Masculino Duramo Sl 2.0 adidas,https://produto.mercadolivre.com.br/MLB-3004098918-tnis-masculino-duramo-sl-20-adidas-_JM#position=9&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"144,14",Tênis Masculino / Feminino Volcan Olympikus,https://produto.mercadolivre.com.br/MLB-2732281942-tnis-masculino-feminino-volcan-olympikus-_JM#position=10&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"338,33",Tênis Masculino Grand Court 2.0 adidas,https://produto.mercadolivre.com.br/MLB-3053311276-tnis-masculino-grand-court-20-adidas-_JM#position=11&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"139,13",Kit Com 5 Camisetas Básicas Femininas Hering,https://produto.mercadolivre.com.br/MLB-2832979916-kit-com-5-camisetas-basicas-femininas-hering-_JM#position=12&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"168,16",Tênis Masculino / Feminino Jogging 100 Olympikus,https://produto.mercadolivre.com.br/MLB-1715441469-tnis-masculino-feminino-jogging-100-olympikus-_JM#position=13&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
"109,10",Kit Com 12 Cuecas Boxer Algodão London Club,https://produto.mercadolivre.com.br/MLB-3140502787-kit-com-12-cuecas-boxer-algodo-london-club-_JM#position=14&search_layout=grid&type=item&tracking_id=71fc192b-5ecc-4775-b8c1-3991ccddafea
